model,n,coef,se,z,p,OR,AME,converged,llf,sec
T2_H1_full,253105,-0.3680172095380327,0.04144936740974757,-8.878717156283711,6.763584901160083e-19,0.69210527077426,-0.04832100066319361,True,-114340.40966224458,25
T2_H1_2008_2014,85132,-0.49943248245389144,0.08710797852885746,-5.733487229168538,9.838647747151134e-09,0.6068749741972875,-0.05595272856618177,True,-35473.82482977609,6
T2_H1_2015_2018,167973,-0.2964540426956881,0.06004862754329537,-4.936899556645874,7.937432451881838e-07,0.7434497934274031,-0.041780410101162214,True,-78670.88064822741,13
T3_H2_col1_struct,123292,0.23527831442459604,0.09986936057464466,2.3558608272929074,0.018479839804032283,1.2652608600828061,0.03051642804838175,True,-48835.51585152629,10
T3_H2_col2_len,123292,0.29097779700175225,0.09751935128542757,2.9837954535822817,0.0028469702403745075,1.3377348818950605,0.03832394785100324,True,-48814.02870107906,10
T3_H2_col3_len_dict,123292,0.24738047118748716,0.10268483076876013,2.409123814447069,0.015990871973725968,1.280666276715549,0.03215711970877861,True,-48779.0775483038,11
T3_H2_col4_lendec_dict,123292,0.24236936926650646,0.10107130522899047,2.3980037530670693,0.01648469633826896,1.274264780147774,0.031455967275074555,True,-48771.78798897991,12
T4_both,123292,0.25697651185041104,0.10384881293140298,2.4745252699244245,0.013341338223335128,1.2930147558786702,0.03349384987770596,True,-48776.28602854551,11
