model,PLR_theta,SE,p,CI_low,CI_high,ATTE,ATTE_p,n_features,sec
DML_H2_dict_spacy300_pca50,0.02563210466494596,0.01514352888536073,0.0905295221183676,-0.004048666549203061,0.055312875879094975,0.02488353302171333,0.1068656954782954,157,294
DML_H2_dict_spacy300_full,0.023346733617170514,0.015904654740334704,0.14212641889816802,-0.007825816860429751,0.054519284094770776,0.025930878717693874,0.09644889137639774,407,1066
DML_H2_dict_doc2vec100,0.024004391369037488,0.014949436325966242,0.10833864347359612,-0.005295965419031132,0.053304748157106105,0.02954641225183527,0.04703291299612053,207,376
DML_H2_dict_spacy300_pca50_seed1,0.025204313748043754,0.0151996238808539,0.0972731565049665,-0.004586401636984809,0.05499502913307232,0.028564399026986566,0.06246396610880802,157,259
DML_H2_dict_spacy300_pca50_seed2,0.02809883084529349,0.01515926519846682,0.06380002614375499,-0.0016127829757929119,0.05781044466637989,0.025472015365392894,0.1086904454995756,157,271
