sample,n,n_relig,inv_share_coef,inv_share_p,full_inv_OR,full_inv_p,exec_ratio_coef,exec_ratio_p
all_2008_2014,123292,681,-0.0008795019900330269,0.7431040749288816,0.9376368285765341,0.5304172975971737,-0.0014854302639333533,0.49731161152183456
2008_2012,59349,510,-0.0013273601270653267,0.7042538478029008,0.9290266831297801,0.5230660089867756,-0.0017417707095549952,0.558945785756179
