spec,theta_median,SE_median,p,CI_low,CI_high,theta_min,theta_max,theta_sd_across_splits,share_reps_p_lt_05,n_rep,n_features,sec
dict,0.03220452745823971,0.014933833069959858,0.031046124847491457,0.002934752489985157,0.06147430242649425,0.02967287140508011,0.03608122088481667,0.0015408242231061784,1.0,20,107,1095
dict_tfidf_svd100,0.029794946493580596,0.014890409593067403,0.045397912961833715,0.0006102799761187674,0.058979613011042424,0.027532092724072366,0.031888899762887446,0.001317917644079526,0.6,20,207,2759
dict_spacy_pca50,0.024819873414580897,0.015079205810779307,0.09977057702975296,-0.00478546526734073,0.05437457185805608,0.022419452045859736,0.028213373539085505,0.001728882194925404,0.0,20,157,1368
dict_doc2vec100,0.02364159843733219,0.014852776929081941,0.1114455689120561,-0.005443927895896561,0.052752504335105345,0.02143451856293648,0.027137461113986967,0.001812360615754489,0.0,20,207,1918
