model,n,converged,clergy,teacher,police,nurse,n_clergy,OR,p
H1_prosper,50270,True,0.6842152459824847,,,,,,
H1_prosper_placebo,50270,True,0.6856548263025048,1.0730817015740888,1.0084684961715735,0.9654750911964423,,,
era0,27117,,,,,,68.0,0.6058944668320682,0.10550770977754308
era1,23153,,,,,,73.0,0.769769740023347,
