var,smd_before,smd_after
grade_B,0.06842419529707182,3.6730495761177747e-09
grade_C,-0.09577380038913857,3.346802017310126e-10
grade_D,-0.10158288434761131,2.7225055840487018e-09
grade_E,-0.09087669865906643,1.8098478648397402e-09
grade_F,-0.026742122689628094,-1.1649168265698051e-09
grade_G,-0.0373514397570702,1.1695043620684345e-09
yr_2008,0.027416538362586833,1.3863516086125383e-09
yr_2009,0.0073825109095868565,1.8399526929777053e-09
yr_2010,0.022642716428867067,3.090857982394449e-09
yr_2011,0.038623492816186676,4.4103190299044554e-09
yr_2012,0.09232981755865748,7.2608312312178315e-09
yr_2013,0.06576622004583098,1.0588583288091934e-08
yr_2014,-0.004613250734247223,1.2533198480812466e-08
yr_2015,-0.0024367811003688303,1.6930707887238048e-08
yr_2016,-0.04966713035070721,1.386923257337104e-08
yr_2017,-0.06075879550188008,9.975090713225744e-09
yr_2018,-0.037373151909627186,5.6111670393467625e-09
home_MORTGAGE,0.04676515096431453,2.0094978410210432e-09
home_OWN,0.08724767323566239,2.4229125964167407e-09
home_RENT,-0.10872486138752344,-3.763373659750355e-09
ver_Source Verified,0.10657043062674149,1.8617088670568617e-08
ver_Verified,-0.17484888668987544,1.0952034312177805e-08
emp_10+ years,0.10161862657498909,1.1212339516543267e-08
emp_2 years,-0.024774108243445916,-6.749543490303462e-09
emp_3 years,0.0023981243125479356,-2.5747397620476185e-10
emp_4 years,0.03330076026197964,5.7947161050802e-09
emp_5 years,0.023807217879013166,2.559829695383951e-09
emp_6 years,0.06783908720339675,4.609805055370245e-09
emp_7 years,0.06715837380592315,-3.9522031178677785e-09
emp_8 years,0.015957721814890132,1.052171344664509e-09
emp_9 years,0.040923579958554245,-5.541569293400919e-09
emp_< 1 year,-0.10761457233440339,-1.597927215229672e-08
st_AL,0.13880462263036272,4.592558577900292e-09
st_AR,0.08913623271285578,3.264988171049306e-09
st_AZ,-0.07559631091599156,8.891966278715914e-10
st_CA,-0.1386991872041617,6.348340094252991e-09
st_CO,0.012437595758593973,6.451870425676703e-10
st_CT,-0.04610559020068362,1.8317490746381748e-09
st_DC,0.0016002778822802831,1.065442587753737e-09
st_DE,0.008512000118957409,1.2272282606502002e-09
st_FL,-0.008383601149835069,-7.895580580863137e-09
st_GA,0.07116313125489569,-3.5891776495241805e-10
st_HI,-0.0030964219954062156,1.4332152004570784e-09
st_IL,0.0052699801352655735,4.2505829646953985e-09
st_IN,0.007723197039945957,-5.459859836483303e-09
st_KS,0.02914981127085514,2.376170426195912e-09
st_KY,0.055721971511325304,-4.530941232486106e-09
st_LA,0.08833508664500724,-6.5406463553755575e-09
st_MA,-0.08369332226893239,-2.3377946678465775e-09
st_MD,-0.054656530113141644,2.3708188912435355e-09
st_MI,-0.01628373763476294,3.1685494877607396e-09
st_MN,0.021559141324739156,3.105345604597044e-09
st_MO,0.05595808668342979,-1.4467404473029847e-09
st_MS,0.053584730612725714,2.3502110395113372e-09
st_MT,0.03952751883910559,1.7617115452539487e-09
st_NC,0.13194992575468129,-7.755436255294757e-09
st_NH,0.0016089167865488694,-2.9065708538659552e-09
st_NJ,-0.08590659167833506,-1.6895667106933846e-09
st_NM,0.02355391924887798,1.922690731449827e-09
st_NV,-0.08433679107066412,1.2561773109024395e-09
st_NY,-0.16620920856982455,-3.639462324895518e-09
st_OH,-0.02907470185167185,9.355249293197163e-10
st_OK,0.06464187264059389,3.041336801050668e-09
st_OR,-0.014218918512136428,2.1167081340728032e-09
st_PA,0.01678448491422857,4.1641191395935485e-09
st_RI,-0.03187306588292964,9.049165457158724e-10
st_SC,0.07660971122076807,3.530506357368628e-09
st_SD,0.021842588777782283,1.3010245736450285e-09
st_TN,0.05441196694514141,-2.6698254526032324e-09
st_TX,0.08643116765740667,5.387564571986327e-09
st_UT,-0.04607372502658999,1.0793549730767876e-09
st_VA,0.048482539672292504,-1.1395212204824678e-09
st_WA,-0.1112623599963959,-1.1173617669213309e-08
st_WI,-0.0015323632903376729,-8.889613534617091e-09
st_WV,0.004742595363749301,1.320331582918325e-09
term60,-0.03373595859944014,1.1173747349086484e-08
