model,n,n_treated,PLR_theta,SE,p,CI_low,CI_high,sec,ATTE,ATTE_SE,ATTE_p
DML_H1_clergy,253105,3105,-0.04259180863384508,0.005815983029577132,2.4206392570831836e-13,-0.053990925906512416,-0.031192691361177752,68,-0.04209480070521417,0.005808358055798014,4.252224277825802e-13
DML_H2_dict,123292,681,0.03307853198711406,0.014909962583214427,0.026517196815889935,0.00385554231317399,0.06230152166105413,37,0.030141940992804782,0.015282260026718359,0.048569848880487876
DML_H2_dict_text,123292,681,0.02810601782321222,0.014899944432539619,0.059252255722181166,-0.0010973366362135237,0.057309372282637966,148,0.03251637993770174,0.014958050451699904,0.029717296276475992
