model,loans,treated,loan_months,events,HR,p,HR_early,p_early,HR_late,p_late
H1_clergy,33105,3105,725884,6359,0.6861014736907621,5.4367625498329004e-14,0.6932971361668391,0.0006274699549086679,0.6837123852396256,2.26245742673354e-11
H2_relig,8681,681,245747,1360,1.2168478605450175,0.05455115405483403,0.9560876538807522,0.8531443973445924,1.2740393545049076,0.027017680584459615
